ano;Prediccion;province;energy type;;;;
31/12/2041;20724,03;Alberta;Solar;;;;
31/12/2042;20724,04;Alberta;Solar;;;;
31/12/2043;20724,04;Alberta;Solar;;;;
31/12/2044;20724,05;Alberta;Solar;;;;
31/12/2045;20724,05;Alberta;Solar;;;;
31/12/2046;20724,05;Alberta;Solar;;;;
31/12/2047;20724,05;Alberta;Solar;;;;
31/12/2048;20724,05;Alberta;Solar;;;;
31/12/2049;20724,05;Alberta;Solar;;;;
31/12/2050;20724,05;Alberta;Solar;;;;
31/12/2051;20724,05;Alberta;Solar;;;;
31/12/2024;0,00;Alberta;Uranium;;;;
31/12/2025;0,00;Alberta;Uranium;;;;
31/12/2026;0,00;Alberta;Uranium;;;;
31/12/2027;0,00;Alberta;Uranium;;;;
31/12/2028;0,00;Alberta;Uranium;;;;
31/12/2029;0,00;Alberta;Uranium;;;;
31/12/2030;0,00;Alberta;Uranium;;;;
31/12/2031;0,00;Alberta;Uranium;;;;
31/12/2032;0,00;Alberta;Uranium;;;;
31/12/2033;0,00;Alberta;Uranium;;;;
31/12/2034;0,00;Alberta;Uranium;;;;
31/12/2035;0,00;Alberta;Uranium;;;;
31/12/2036;0,00;Alberta;Uranium;;;;
31/12/2037;0,00;Alberta;Uranium;;;;
31/12/2038;0,00;Alberta;Uranium;;;;
31/12/2039;0,00;Alberta;Uranium;;;;
31/12/2040;0,00;Alberta;Uranium;;;;
31/12/2041;0,00;Alberta;Uranium;;;;
31/12/2042;0,00;Alberta;Uranium;;;;
31/12/2043;0,00;Alberta;Uranium;;;;
31/12/2044;0,00;Alberta;Uranium;;;;
31/12/2045;0,00;Alberta;Uranium;;;;
31/12/2046;0,00;Alberta;Uranium;;;;
31/12/2047;0,00;Alberta;Uranium;;;;
31/12/2048;0,00;Alberta;Uranium;;;;
31/12/2049;0,00;Alberta;Uranium;;;;
31/12/2050;0,00;Alberta;Uranium;;;;
31/12/2051;0,00;Alberta;Uranium;;;;
31/12/2024;-649,30;Alberta;Coal & Coke;;;;
31/12/2025;-2068,10;Alberta;Coal & Coke;;;;
31/12/2026;-3524,33;Alberta;Coal & Coke;;;;
31/12/2027;-5050,06;Alberta;Coal & Coke;;;;
31/12/2028;-6668,93;Alberta;Coal & Coke;;;;
31/12/2029;-8302,93;Alberta;Coal & Coke;;;;
31/12/2030;-9970,06;Alberta;Coal & Coke;;;;
31/12/2031;-11646,01;Alberta;Coal & Coke;;;;
31/12/2032;-13309,92;Alberta;Coal & Coke;;;;
31/12/2033;-14943,66;Alberta;Coal & Coke;;;;
31/12/2034;-16533,46;Alberta;Coal & Coke;;;;
31/12/2035;-18064,48;Alberta;Coal & Coke;;;;
31/12/2036;-19526,20;Alberta;Coal & Coke;;;;
31/12/2037;-20910,52;Alberta;Coal & Coke;;;;
31/12/2038;-22211,82;Alberta;Coal & Coke;;;;
31/12/2039;-23426,60;Alberta;Coal & Coke;;;;
31/12/2040;-24553,50;Alberta;Coal & Coke;;;;
31/12/2041;-25592,76;Alberta;Coal & Coke;;;;
31/12/2042;-26546,01;Alberta;Coal & Coke;;;;
31/12/2043;-27416,01;Alberta;Coal & Coke;;;;
31/12/2044;-28206,35;Alberta;Coal & Coke;;;;
31/12/2045;-28921,30;Alberta;Coal & Coke;;;;
31/12/2046;-29565,54;Alberta;Coal & Coke;;;;
31/12/2047;-30144,00;Alberta;Coal & Coke;;;;
31/12/2048;-30661,73;Alberta;Coal & Coke;;;;
31/12/2049;-31123,82;Alberta;Coal & Coke;;;;
31/12/2050;-31535,07;Alberta;Coal & Coke;;;;
31/12/2051;-31900,29;Alberta;Coal & Coke;;;;
31/12/2024;12509,79;Alberta;Natural Gas;;;;
31/12/2025;13798,39;Alberta;Natural Gas;;;;
31/12/2026;14929,64;Alberta;Natural Gas;;;;
31/12/2027;16413,95;Alberta;Natural Gas;;;;
31/12/2028;18270,33;Alberta;Natural Gas;;;;
31/12/2029;19773,64;Alberta;Natural Gas;;;;
31/12/2030;21728,38;Alberta;Natural Gas;;;;
31/12/2031;23799,85;Alberta;Natural Gas;;;;
31/12/2032;26076,53;Alberta;Natural Gas;;;;
31/12/2033;28474,49;Alberta;Natural Gas;;;;
31/12/2034;30898,33;Alberta;Natural Gas;;;;
31/12/2035;33464,34;Alberta;Natural Gas;;;;
31/12/2036;36038,94;Alberta;Natural Gas;;;;
31/12/2037;38583,71;Alberta;Natural Gas;;;;
31/12/2038;41032,38;Alberta;Natural Gas;;;;
31/12/2039;43340,94;Alberta;Natural Gas;;;;
31/12/2040;45488,98;Alberta;Natural Gas;;;;
31/12/2041;47431,98;Alberta;Natural Gas;;;;
31/12/2042;49158,21;Alberta;Natural Gas;;;;
31/12/2043;50664,74;Alberta;Natural Gas;;;;
31/12/2044;51960,95;Alberta;Natural Gas;;;;
31/12/2045;53062,25;Alberta;Natural Gas;;;;
31/12/2046;53985,45;Alberta;Natural Gas;;;;
31/12/2047;54752,13;Alberta;Natural Gas;;;;
31/12/2048;55383,70;Alberta;Natural Gas;;;;
31/12/2049;55900,70;Alberta;Natural Gas;;;;
31/12/2050;56321,45;Alberta;Natural Gas;;;;
31/12/2051;56662,22;Alberta;Natural Gas;;;;
31/12/2024;7,15;Alberta;Oil;;;;
31/12/2025;7,15;Alberta;Oil;;;;
31/12/2026;7,15;Alberta;Oil;;;;
31/12/2027;7,15;Alberta;Oil;;;;
31/12/2028;7,15;Alberta;Oil;;;;
31/12/2029;7,15;Alberta;Oil;;;;
31/12/2030;7,15;Alberta;Oil;;;;
31/12/2031;7,15;Alberta;Oil;;;;
31/12/2032;7,15;Alberta;Oil;;;;
31/12/2033;7,15;Alberta;Oil;;;;
31/12/2034;7,15;Alberta;Oil;;;;
31/12/2035;7,15;Alberta;Oil;;;;
31/12/2036;7,15;Alberta;Oil;;;;
31/12/2037;7,15;Alberta;Oil;;;;
31/12/2038;7,15;Alberta;Oil;;;;
31/12/2039;7,15;Alberta;Oil;;;;
31/12/2040;7,15;Alberta;Oil;;;;
31/12/2041;7,15;Alberta;Oil;;;;
31/12/2042;7,15;Alberta;Oil;;;;
31/12/2043;7,15;Alberta;Oil;;;;
31/12/2044;7,15;Alberta;Oil;;;;
31/12/2045;7,15;Alberta;Oil;;;;
31/12/2046;7,15;Alberta;Oil;;;;
31/12/2047;7,15;Alberta;Oil;;;;
31/12/2048;7,15;Alberta;Oil;;;;
31/12/2049;7,15;Alberta;Oil;;;;
31/12/2050;7,15;Alberta;Oil;;;;
31/12/2051;7,15;Alberta;Oil;;;;
31/12/2024;16274,15;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2025;16400,15;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2026;16526,39;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2027;16647,63;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2028;16759,42;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2029;16858,63;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2030;16947,91;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2031;17028,70;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2032;17101,55;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2033;17167,14;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2034;17226,19;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2035;17279,35;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2036;17327,17;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2037;17370,19;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2038;17408,86;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2039;17443,61;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2040;17474,85;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2041;17502,91;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2042;17528,11;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2043;17550,75;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2044;17571,07;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2045;17589,31;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2046;17605,68;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2047;17620,38;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2048;17633,57;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2049;17645,41;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2050;17656,03;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2051;17665,55;British Columbia;Hydro / Wave / Tidal;;;;
31/12/2024;793,65;British Columbia;Wind;;;;
31/12/2025;813,64;British Columbia;Wind;;;;
31/12/2026;835,89;British Columbia;Wind;;;;
31/12/2027;859,31;British Columbia;Wind;;;;
31/12/2028;883,24;British Columbia;Wind;;;;
31/12/2029;907,24;British Columbia;Wind;;;;
31/12/2030;925,31;British Columbia;Wind;;;;
31/12/2031;942,49;British Columbia;Wind;;;;
31/12/2032;958,48;British Columbia;Wind;;;;
31/12/2033;973,13;British Columbia;Wind;;;;
31/12/2034;986,37;British Columbia;Wind;;;;
31/12/2035;998,21;British Columbia;Wind;;;;
31/12/2036;1009,02;British Columbia;Wind;;;;
31/12/2037;1018,85;British Columbia;Wind;;;;
31/12/2038;1027,75;British Columbia;Wind;;;;
31/12/2039;1035,79;British Columbia;Wind;;;;
31/12/2040;1043,07;British Columbia;Wind;;;;
31/12/2041;1049,67;British Columbia;Wind;;;;
31/12/2042;1055,63;British Columbia;Wind;;;;
31/12/2043;1061,02;British Columbia;Wind;;;;
31/12/2044;1065,90;British Columbia;Wind;;;;
31/12/2045;1070,31;British Columbia;Wind;;;;
31/12/2046;1074,29;British Columbia;Wind;;;;
31/12/2047;1077,89;British Columbia;Wind;;;;
31/12/2048;1081,14;British Columbia;Wind;;;;
31/12/2049;1084,08;British Columbia;Wind;;;;
31/12/2050;1086,73;British Columbia;Wind;;;;
31/12/2051;1089,12;British Columbia;Wind;;;;
31/12/2024;1026,08;British Columbia;Biomass / Geothermal;;;;
31/12/2025;1044,27;British Columbia;Biomass / Geothermal;;;;
31/12/2026;1058,73;British Columbia;Biomass / Geothermal;;;;
31/12/2027;1075,49;British Columbia;Biomass / Geothermal;;;;
31/12/2028;1094,31;British Columbia;Biomass / Geothermal;;;;
31/12/2029;1115,05;British Columbia;Biomass / Geothermal;;;;
