0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Hydro / Wave / Tidal,953.13,953.13,953.13,953.13,953.13,953.13,960.98,960.98,960.98,960.98,960.98,960.98,960.98,960.98,960.98,960.98,960.98,960.98,960.98
Wind,0.0,0.0,0.0,96.0,195.0,195.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,329.0,329.0
Biomass / Geothermal,127.37,127.37,127.37,127.37,127.37,127.37,127.37,127.37,127.37,127.37,127.37,127.3,127.3,127.3,127.3,79.2,79.2,79.2,79.2
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
Uranium,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0
Coal & Coke,541.0,541.0,541.0,541.0,541.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,541.0,541.0,541.0,541.0
Natural Gas,340.0,340.0,340.0,340.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,550.0,550.0,550.0,550.0
Oil,1593.04,1593.04,1593.04,1593.04,1593.04,1593.04,1593.04,1593.04,1593.04,1593.04,1593.04,1593.04,1593.04,1593.04,1593.04,1593.04,1593.04,1593.04,1593.04
