0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Hydro / Wave / Tidal,5053.63,5053.63,5053.63,5053.63,5053.63,5053.63,5053.63,5053.63,5254.63,5313.05,5349.16,5349.16,5349.16,5349.16,5349.16,5372.69,5472.69,6072.69,6072.69
Wind,20.0,103.95,103.95,103.95,103.95,103.95,241.95,258.45,258.45,258.45,258.45,258.45,258.45,258.45,258.45,258.65,258.65,258.65,258.65
Biomass / Geothermal,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0
Uranium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal & Coke,97.64,97.64,97.64,97.64,97.64,97.64,97.64,97.64,97.64,97.64,97.64,97.64,97.64,97.64,97.64,0.0,0.0,0.0,0.0
Natural Gas,400.38,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,407.68,407.68,402.61,402.61,402.61,402.61,402.61,402.61,402.61,402.61
Oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93,4.93,4.93,4.93,4.93,4.93,37.31,37.31,37.31,37.31
