0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Hydro / Wave / Tidal,863.81,863.81,863.81,863.81,863.81,863.81,863.81,863.81,863.81,863.81,889.06,889.06,889.06,889.06,889.06,889.06,889.06,889.06,889.06
Wind,15.86,171.18,171.18,171.18,171.18,171.18,196.68,196.68,196.68,196.68,221.18,221.18,221.18,221.18,221.18,221.18,221.18,221.18,221.18
Biomass / Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.72,1.72,1.72,1.72,64.0,64.0,64.0,64.0
Uranium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal & Coke,1799.0,1799.0,1822.0,1822.0,1826.0,1826.0,1826.0,1702.0,1636.0,1535.0,1535.0,1535.0,1535.0,1535.0,1535.0,1535.0,1535.0,1396.0,1257.0
Natural Gas,1053.45,1053.45,1053.45,1053.45,1146.45,1393.95,1393.95,1393.95,1328.0,1480.0,1709.95,1859.96,1859.96,1859.96,1859.96,1839.95,1839.95,1839.95,1839.95
Oil,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96
