0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Hydro / Wave / Tidal,6790.68,6790.68,6790.68,6790.68,6790.68,6790.68,6793.68,6793.68,6793.68,6793.68,6793.68,6793.68,6793.68,6793.68,6793.68,6783.06,7607.06,7607.06,7607.06
Wind,0.0,0.0,0.0,0.0,54.0,54.0,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3
Biomass / Geothermal,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Uranium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal & Coke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural Gas,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,131.5,251.5,251.5,251.5,251.5,251.5,251.5
Oil,783.7,783.7,783.7,783.7,722.29,722.29,722.29,722.29,722.29,736.99,736.99,736.99,722.84,722.84,722.84,769.55,769.55,769.55,769.55
