0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Hydro / Wave / Tidal,72877.98,72767.98,73568.98,74471.98,74753.98,75148.98,75464.84,76520.13,75991.44,78564.85,79677.21,80624.68,80922.48,81383.48,81383.48,81743.49,83067.49,83672.49,83672.49
Wind,557.37,1443.04,1823.24,2321.14,3240.14,3746.11,5171.34,5883.21,7467.01,9404.99,10945.79,11766.8,12673.45,12781.65,13206.05,13658.43,13878.43,15237.43,16137.43
Biomass / Geothermal,1735.59,1742.19,1742.19,1666.19,1735.29,1800.29,1829.79,1884.89,1913.73,2368.83,2236.93,2515.5,2446.9,2459.7,2260.2,2522.82,2542.07,2542.07,2542.07
Solar,16.75,20.48,25.77,32.72,94.57,281.13,419.4,647.48,1027.63,1523.48,2135.48,2416.06,2614.46,2719.86,2739.86,3116.67,3350.67,3994.67,4224.67
Uranium,12805.0,13345.0,13345.0,13345.0,13345.0,13345.0,13345.0,13345.0,14345.0,14273.0,14273.0,14273.0,13338.0,13338.0,13338.0,14845.0,13085.0,13085.0,12150.0
Coal & Coke,15647.64,15563.64,15650.64,15471.64,15528.64,13779.64,13253.64,12419.64,11445.94,9641.64,9517.44,9517.44,9517.44,8929.44,8929.44,7928.0,6546.0,4706.0,3761.0
Natural Gas,13561.11,13858.78,13954.9,15717.1,15820.33,18944.95,19354.65,19891.08,20065.77,20153.21,21931.08,21566.92,22086.92,22565.92,22576.92,22893.33,22977.83,23477.83,25938.83
Oil,4770.08,4519.44,4524.44,4520.69,4474.83,4609.02,3916.28,3641.15,3645.15,3655.7,3500.7,3558.68,3594.53,3614.53,3624.53,3660.56,3660.56,3660.56,3660.56
