0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Hydro / Wave / Tidal,4573.0,4032.0,4393.0,4030.0,2962.0,3866.0,4641.0,4240.0,4449.0,4706.09,3426.0,3285.0,3855.0,3591.0,3666.0,3389.17,2494.56,3863.42,3976.59
Wind,92.0,573.0,620.0,574.0,579.0,507.0,682.0,655.0,646.0,615.26,620.0,746.0,739.0,694.0,707.0,821.47,870.39,1639.75,1639.75
Biomass / Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,109.0,109.25,109.86,246.76,274.86
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.03,35.33,62.03,149.03
Uranium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal & Coke,13157.72,12734.72,13706.72,14055.07,14446.21,13510.41,13181.21,13089.82,13578.27,11726.75,12023.56,11974.82,11915.14,10290.84,9981.5,8169.14,10334.58,7879.44,6718.55
Natural Gas,1896.28,2247.28,1869.28,3083.94,2763.79,2503.59,2678.79,3253.18,4493.73,6022.45,7348.4,8613.18,9045.87,9436.16,9714.5,10914.03,11093.95,11246.93,11831.98
Oil,17.9,19.5,25.9,22.6,17.9,20.8,12.3,11.3,15.0,12.4,2.0,1.0,1.0,1.0,1.0,1.02,1.02,1.02,1.02
