0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Hydro / Wave / Tidal,173112.6,172347.6,180856.6,187783.8,189423.0,177402.2,189675.6,191955.4,202512.3,197207.4,194413.3,197315.9,201677.6,199829.6,199599.8,194227.42,200588.07,195745.31,195672.35
Wind,416.0,419.0,617.0,565.0,1322.0,1535.14,1393.8,2278.06,4717.86,6124.31,6421.0,9781.0,9905.0,10640.0,11097.0,11322.93,10322.93,14322.93,14322.93
Biomass / Geothermal,646.0,646.0,646.0,439.0,550.0,843.91,1088.82,1232.85,1613.84,943.52,925.31,1348.41,1705.73,1627.51,1511.07,1309.41,1301.22,1569.81,1562.41
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,30.53,33.53,29.53,29.53
Uranium,4321.58,4321.58,4321.58,3624.23,3596.28,3551.59,3525.22,4212.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal & Coke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural Gas,269.0,1326.0,3945.0,228.0,264.0,222.4,174.24,185.01,112.84,156.54,141.41,164.89,188.25,169.76,163.06,86.55,106.41,298.68,262.62
Oil,180.26,366.03,668.83,532.89,392.12,585.88,546.18,518.65,475.06,496.68,532.04,660.06,421.08,593.07,501.07,556.76,556.46,576.7,593.94
