0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Hydro / Wave / Tidal,35480.0,36031.99,34315.0,39614.99,39685.01,32555.0,34907.0,33887.0,37936.0,39199.48,35042.89,36513.0,40016.01,38280.99,36210.02,39004.98,35232.74,39081.49,36227.64
Wind,26.0,145.0,494.0,1400.0,2300.0,2800.0,3900.0,4600.0,5200.0,6900.64,11396.0,10758.0,10464.0,11922.01,10957.0,13168.8,12419.58,17871.6,18055.59
Biomass / Geothermal,807.53,733.51,598.95,484.04,657.05,735.1,607.89,672.86,586.34,905.14,937.11,1444.15,962.05,1310.77,1249.39,1100.0,1194.88,1071.08,1477.56
Solar,0.0,0.0,0.0,0.0,5.0,123.0,398.0,842.0,1173.0,1757.71,1425.0,1776.0,1998.0,2163.0,2168.0,5636.2,5726.06,5991.44,8080.89
Uranium,77969.0,83457.0,79750.0,85832.0,81395.98,81975.0,84766.0,84866.0,93102.99,96195.59,91768.98,91142.01,90445.0,90155.01,90454.0,87845.33,82281.39,78010.75,77282.95
Coal & Coke,28734.08,23808.08,27468.72,22638.21,10461.15,10336.62,4329.34,3596.74,2742.24,94.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural Gas,13282.59,11807.7,13530.81,11214.3,7490.9,16885.54,24281.59,23380.22,18653.16,15720.97,16218.48,14862.2,8378.62,11831.22,11504.17,11039.36,11386.09,10841.55,11315.61
Oil,309.95,309.95,309.95,182.56,215.24,73.47,45.67,65.78,45.15,381.13,657.48,544.26,377.97,459.69,409.18,85.07,93.36,85.07,85.07
