0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Hydro / Wave / Tidal,330.63,330.63,330.63,348.29,379.06,380.43,388.07,430.19,347.19,410.67,422.0,419.0,448.0,419.0,376.0,438.41,505.9,494.2,434.66
Wind,0.41,0.41,0.41,0.44,0.23,0.09,0.4,0.45,0.28,0.33,1.0,1.0,0.0,0.0,0.0,1.08,1.08,1.08,1.08
Biomass / Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,2.99,3.08,3.4
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.26,0.4,0.54
Uranium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal & Coke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural Gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,27.0,37.0,59.0,92.0,63.62,111.52,116.93,135.58
Oil,22.09,22.09,22.09,22.33,18.54,24.78,36.87,24.37,23.29,23.0,0.0,0.0,0.0,0.0,0.0,75.33,79.32,82.18,98.66
