0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Hydro / Wave / Tidal,259.11,251.87,250.25,246.58,253.95,253.95,260.35,255.2,262.76,233.82,164.0,243.0,249.0,253.0,267.0,247.64,247.37,248.69,250.11
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.6,19.85,21.0,14.0,17.0,18.0,17.0,16.74,17.74,24.02,24.02
Biomass / Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,1.87,2.96,3.06
Uranium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal & Coke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural Gas,162.4,169.77,116.92,171.91,191.5,97.44,61.32,34.27,151.62,35.0,125.39,124.29,108.51,110.64,98.24,80.18,86.9,22.4,25.23
Oil,71.63,41.21,60.64,57.56,61.1,57.78,59.13,77.16,78.73,101.67,429.61,426.71,373.49,377.36,335.76,35.09,34.9,35.19,35.48
