0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Hydro / Wave / Tidal,358380.8,349124.5,363798.5,373817.3,365011.8,347937.5,371953.2,375760.2,387396.2,378786.2,378498.4,381710.1,390771.5,382163.9,375998.3,381169.28,378130.64,385441.78,375626.96
Wind,1453.41,2529.41,3683.41,4715.44,7031.23,8354.23,11622.99,13716.78,17544.74,21484.5,26692.57,30624.0,31197.0,32814.01,32333.0,37454.07,35996.13,50816.97,54408.92
Biomass / Geothermal,6997.43,7143.38,6971.02,6319.81,6057.39,8266.52,8716.9,9038.92,9208.18,11997.93,8462.34,10240.42,6300.36,9260.97,8892.72,9141.13,9461.53,11321.23,10291.32
Solar,0.0,0.0,0.0,0.0,5.0,123.0,398.0,842.0,1173.0,1757.71,1426.0,1779.0,2001.0,2191.0,2194.0,5919.9,6249.05,7968.07,10667.02
Uranium,86668.58,92144.58,88190.58,90585.23,84992.27,85526.59,88291.22,89487.62,97581.99,101207.8,96045.98,95687.01,95565.0,95029.01,95470.0,92645.8,86894.63,83081.65,82301.74
Coal & Coke,97362.16,92204.69,97287.24,91097.93,76661.64,71258.57,65177.45,63091.11,64779.21,64238.38,57142.41,57243.38,55265.55,46520.81,44038.21,41913.67,32642.48,27548.97,19569.22
Natural Gas,40015.8,43057.99,47278.59,43912.88,42619.74,54093.18,63514.07,63899.03,60403.56,59038.3,65743.65,63421.96,62934.24,66979.59,69561.62,68037.5,74448.91,81136.49,89258.27
Oil,8193.96,7877.58,8776.76,6929.51,7336.52,5187.67,4561.87,4271.87,4071.33,6616.76,5266.72,5087.45,4150.07,4189.29,3719.72,2058.4,1897.82,1419.63,1461.57
