,Scenario,Region,Variable,Year,Value,Sector
83,Current Measures,Northwest Territories,Electricity,2032,0.3976,Residential
84,Current Measures,Northwest Territories,Electricity,2033,0.7178,Commercial
85,Current Measures,Northwest Territories,Electricity,2033,0.0469,Industrial
86,Current Measures,Northwest Territories,Electricity,2033,0.4005,Residential
87,Current Measures,Northwest Territories,Electricity,2034,0.7166,Commercial
88,Current Measures,Northwest Territories,Electricity,2034,0.0488,Industrial
89,Current Measures,Northwest Territories,Electricity,2034,0.4038,Residential
90,Current Measures,Northwest Territories,Electricity,2035,0.7158,Commercial
91,Current Measures,Northwest Territories,Electricity,2035,0.0509,Industrial
92,Current Measures,Northwest Territories,Electricity,2035,0.4082,Residential
93,Current Measures,Northwest Territories,Electricity,2036,0.7159,Commercial
94,Current Measures,Northwest Territories,Electricity,2036,0.053,Industrial
95,Current Measures,Northwest Territories,Electricity,2036,0.4127,Residential
96,Current Measures,Northwest Territories,Electricity,2037,0.7162,Commercial
97,Current Measures,Northwest Territories,Electricity,2037,0.0551,Industrial
98,Current Measures,Northwest Territories,Electricity,2037,0.4171,Residential
99,Current Measures,Northwest Territories,Electricity,2038,0.7109,Commercial
100,Current Measures,Northwest Territories,Electricity,2038,0.0566,Industrial
101,Current Measures,Northwest Territories,Electricity,2038,0.4217,Residential
102,Current Measures,Northwest Territories,Electricity,2039,0.7118,Commercial
103,Current Measures,Northwest Territories,Electricity,2039,0.0587,Industrial
104,Current Measures,Northwest Territories,Electricity,2039,0.4267,Residential
105,Current Measures,Northwest Territories,Electricity,2040,0.7127,Commercial
106,Current Measures,Northwest Territories,Electricity,2040,0.0609,Industrial
107,Current Measures,Northwest Territories,Electricity,2040,0.4319,Residential
108,Current Measures,Northwest Territories,Electricity,2041,0.708,Commercial
109,Current Measures,Northwest Territories,Electricity,2041,0.0629,Industrial
110,Current Measures,Northwest Territories,Electricity,2041,0.4371,Residential
111,Current Measures,Northwest Territories,Electricity,2042,0.7094,Commercial
112,Current Measures,Northwest Territories,Electricity,2042,0.065,Industrial
113,Current Measures,Northwest Territories,Electricity,2042,0.4421,Residential
114,Current Measures,Northwest Territories,Electricity,2043,0.7099,Commercial
115,Current Measures,Northwest Territories,Electricity,2043,0.067,Industrial
116,Current Measures,Northwest Territories,Electricity,2043,0.4477,Residential
117,Current Measures,Northwest Territories,Electricity,2044,0.7099,Commercial
118,Current Measures,Northwest Territories,Electricity,2044,0.0689,Industrial
119,Current Measures,Northwest Territories,Electricity,2044,0.452,Residential
120,Current Measures,Northwest Territories,Electricity,2045,0.8253,Commercial
121,Current Measures,Northwest Territories,Electricity,2045,0.0708,Industrial
122,Current Measures,Northwest Territories,Electricity,2045,0.4579,Residential
123,Current Measures,Northwest Territories,Electricity,2046,0.8606,Commercial
124,Current Measures,Northwest Territories,Electricity,2046,0.0725,Industrial
125,Current Measures,Northwest Territories,Electricity,2046,0.4627,Residential
126,Current Measures,Northwest Territories,Electricity,2047,0.891,Commercial
127,Current Measures,Northwest Territories,Electricity,2047,0.074,Industrial
128,Current Measures,Northwest Territories,Electricity,2047,0.4682,Residential
129,Current Measures,Northwest Territories,Electricity,2048,0.9083,Commercial
130,Current Measures,Northwest Territories,Electricity,2048,0.0752,Industrial
131,Current Measures,Northwest Territories,Electricity,2048,0.4735,Residential
132,Current Measures,Northwest Territories,Electricity,2049,0.9173,Commercial
133,Current Measures,Northwest Territories,Electricity,2049,0.0763,Industrial
134,Current Measures,Northwest Territories,Electricity,2049,0.4787,Residential
135,Current Measures,Northwest Territories,Electricity,2050,0.9168,Commercial
136,Current Measures,Northwest Territories,Electricity,2050,0.0775,Industrial
137,Current Measures,Northwest Territories,Electricity,2050,0.4833,Residential
