,Scenario,Region,Variable,Year,Value,Sector
91,Current Measures,Yukon,Electricity,2037,0.1058,Industrial
92,Current Measures,Yukon,Electricity,2037,0.9192,Residential
93,Current Measures,Yukon,Electricity,2038,1.0275,Commercial
94,Current Measures,Yukon,Electricity,2038,0.1058,Industrial
95,Current Measures,Yukon,Electricity,2038,0.9248,Residential
96,Current Measures,Yukon,Electricity,2039,1.0322,Commercial
97,Current Measures,Yukon,Electricity,2039,0.1059,Industrial
98,Current Measures,Yukon,Electricity,2039,0.9308,Residential
99,Current Measures,Yukon,Electricity,2040,1.0367,Commercial
100,Current Measures,Yukon,Electricity,2040,0.1062,Industrial
101,Current Measures,Yukon,Electricity,2040,0.9369,Residential
102,Current Measures,Yukon,Electricity,2041,1.0418,Commercial
103,Current Measures,Yukon,Electricity,2041,0.1063,Industrial
104,Current Measures,Yukon,Electricity,2041,0.9434,Residential
105,Current Measures,Yukon,Electricity,2042,1.0473,Commercial
106,Current Measures,Yukon,Electricity,2042,0.1064,Industrial
107,Current Measures,Yukon,Electricity,2042,0.9492,Residential
108,Current Measures,Yukon,Electricity,2043,1.0526,Commercial
109,Current Measures,Yukon,Electricity,2043,0.1064,Industrial
110,Current Measures,Yukon,Electricity,2043,0.9566,Residential
111,Current Measures,Yukon,Electricity,2044,1.0544,Commercial
112,Current Measures,Yukon,Electricity,2044,0.1065,Industrial
113,Current Measures,Yukon,Electricity,2044,0.9615,Residential
114,Current Measures,Yukon,Electricity,2045,1.0606,Commercial
115,Current Measures,Yukon,Electricity,2045,0.1065,Industrial
116,Current Measures,Yukon,Electricity,2045,0.9695,Residential
117,Current Measures,Yukon,Electricity,2046,1.0672,Commercial
118,Current Measures,Yukon,Electricity,2046,0.1066,Industrial
119,Current Measures,Yukon,Electricity,2046,0.9759,Residential
120,Current Measures,Yukon,Electricity,2047,1.0695,Commercial
121,Current Measures,Yukon,Electricity,2047,0.1067,Industrial
122,Current Measures,Yukon,Electricity,2047,0.9839,Residential
123,Current Measures,Yukon,Electricity,2048,1.0767,Commercial
124,Current Measures,Yukon,Electricity,2048,0.1066,Industrial
125,Current Measures,Yukon,Electricity,2048,0.9917,Residential
126,Current Measures,Yukon,Electricity,2049,1.0797,Commercial
127,Current Measures,Yukon,Electricity,2049,0.1066,Industrial
128,Current Measures,Yukon,Electricity,2049,0.9996,Residential
129,Current Measures,Yukon,Electricity,2050,1.0871,Commercial
130,Current Measures,Yukon,Electricity,2050,0.1067,Industrial
131,Current Measures,Yukon,Electricity,2050,1.0066,Residential
132,Current Measures,Yukon,Electricity,2021,0.8201,Commercial
133,Current Measures,Yukon,Electricity,2021,0.4345,Industrial
134,Current Measures,Yukon,Electricity,2021,0.7676,Residential
135,Current Measures,Yukon,Electricity,2022,0.8845,Commercial
136,Current Measures,Yukon,Electricity,2022,0.4324,Industrial
137,Current Measures,Yukon,Electricity,2022,0.813,Residential
